MM:DD:YY,WT5_Count,WT6_Count,WT7_Count,WT8_Count,ADH5_Count,ADH6_Count,ADH7_Count,ADH8_Count,WT5_Start,WT6_Start,WT7_Start,WT8_Start,ADH5_Start,ADH6_Start,ADH7_Start,ADH8_Start,WT5_Stop,WT6_Stop,WT7_Stop,WT8_Stop,ADH5_Stop,ADH6_Stop,ADH7_Stop,ADH8_Stop
6/10/24,0,13,0,10,1,15,0,4,0,41947,0,37783,25615,38886,0,39510,0,41971,0,37795,25639,38898,0,40123
6/10/24,0,14,0,10,1,15,0,4,0,42173,0,37783,25615,38886,0,39510,0,42215,0,37795,25639,38898,0,40123
6/10/24,0,15,0,10,1,15,0,4,0,42524,0,37783,25615,38886,0,39510,0,42554,0,37795,25639,38898,0,40123
6/10/24,0,16,0,10,1,15,0,4,0,42746,0,37783,25615,38886,0,39510,0,42776,0,37795,25639,38898,0,40123
6/10/24,0,17,0,10,1,15,0,4,0,42859,0,37783,25615,38886,0,39510,0,42889,0,37795,25639,38898,0,40123
6/10/24,0,18,0,10,1,15,0,4,0,43309,0,37783,25615,38886,0,39510,0,43357,0,37795,25639,38898,0,40123
6/10/24,0,19,0,10,1,15,0,4,0,43575,0,37783,25615,38886,0,39510,0,43588,0,37795,25639,38898,0,40123
6/10/24,0,20,0,10,1,15,0,4,0,43683,0,37783,25615,38886,0,39510,0,43731,0,37795,25639,38898,0,40123
6/10/24,0,21,0,10,1,15,0,4,0,44103,0,37783,25615,38886,0,39510,0,44127,0,37795,25639,38898,0,40123
6/10/24,0,21,0,11,1,15,0,4,0,44192,0,44181,25615,38886,0,39510,0,44127,0,44199,25639,38898,0,40123
6/10/24,0,22,0,11,1,15,0,4,0,44192,0,44181,25615,38886,0,39510,0,44258,0,44199,25639,38898,0,40123
6/10/24,0,22,1,11,1,15,0,4,0,44192,51225,44181,25615,38886,0,39510,0,44258,51273,44199,25639,38898,0,40123
6/10/24,0,22,2,11,1,15,0,4,0,44192,51332,44181,25615,38886,0,39510,0,44258,51375,44199,25639,38898,0,40123
6/10/24,0,22,3,11,1,15,0,4,0,44192,51464,44181,25615,38886,0,39510,0,44258,51506,44199,25639,38898,0,40123
6/10/24,0,22,4,11,1,15,0,4,0,44192,51566,44181,25615,38886,0,39510,0,44258,51596,44199,25639,38898,0,40123
6/10/24,0,22,5,11,1,15,0,4,0,44192,51663,44181,25615,38886,0,39510,0,44258,51705,44199,25639,38898,0,40123
6/10/24,0,22,6,11,1,15,0,4,0,44192,51783,44181,25615,38886,0,39510,0,44258,51801,44199,25639,38898,0,40123
6/10/24,0,22,7,11,1,15,0,4,0,44192,51980,44181,25615,38886,0,39510,0,44258,52028,44199,25639,38898,0,40123
6/10/24,0,22,8,11,1,15,0,4,0,44192,52213,44181,25615,38886,0,39510,0,44258,52262,44199,25639,38898,0,40123
6/10/24,0,22,9,11,1,15,0,4,0,44192,52342,44181,25615,38886,0,39510,0,44258,52384,44199,25639,38898,0,40123
6/10/24,0,22,10,11,1,15,0,4,0,44192,52461,44181,25615,38886,0,39510,0,44258,52497,44199,25639,38898,0,40123
6/10/24,0,22,11,11,1,15,0,4,0,44192,52568,44181,25615,38886,0,39510,0,44258,52604,44199,25639,38898,0,40123
6/10/24,0,22,12,11,1,15,0,4,0,44192,52706,44181,25615,38886,0,39510,0,44258,52712,44199,25639,38898,0,40123
6/10/24,0,22,13,11,1,15,0,4,0,44192,52816,44181,25615,38886,0,39510,0,44258,52852,44199,25639,38898,0,40123
6/10/24,0,22,14,11,1,15,0,4,0,44192,52948,44181,25615,38886,0,39510,0,44258,52978,44199,25639,38898,0,40123
6/10/24,0,22,15,11,1,15,0,4,0,44192,54757,44181,25615,38886,0,39510,0,44258,54799,44199,25639,38898,0,40123
6/10/24,0,22,16,11,1,15,0,4,0,44192,54858,44181,25615,38886,0,39510,0,44258,54906,44199,25639,38898,0,40123
6/10/24,0,22,17,11,1,15,0,4,0,44192,54969,44181,25615,38886,0,39510,0,44258,54993,44199,25639,38898,0,40123
6/10/24,0,22,18,11,1,15,0,4,0,44192,55052,44181,25615,38886,0,39510,0,44258,55088,44199,25639,38898,0,40123
6/10/24,0,22,19,11,1,15,0,4,0,44192,55147,44181,25615,38886,0,39510,0,44258,55189,44199,25639,38898,0,40123
6/10/24,0,22,20,11,1,15,0,4,0,44192,55249,44181,25615,38886,0,39510,0,44258,55297,44199,25639,38898,0,40123
6/10/24,0,22,21,11,1,15,0,4,0,44192,55364,44181,25615,38886,0,39510,0,44258,55406,44199,25639,38898,0,40123
6/10/24,0,22,22,11,1,15,0,4,0,44192,55477,44181,25615,38886,0,39510,0,44258,55520,44199,25639,38898,0,40123
6/10/24,0,22,23,11,1,15,0,4,0,44192,55585,44181,25615,38886,0,39510,0,44258,55633,44199,25639,38898,0,40123
6/10/24,0,22,24,11,1,15,0,4,0,44192,55710,44181,25615,38886,0,39510,0,44258,55752,44199,25639,38898,0,40123
6/10/24,0,22,25,11,1,15,0,4,0,44192,55958,44181,25615,38886,0,39510,0,44258,56007,44199,25639,38898,0,40123
6/10/24,0,22,26,11,1,15,0,4,0,44192,56096,44181,25615,38886,0,39510,0,44258,56144,44199,25639,38898,0,40123
6/10/24,0,22,27,11,1,15,0,4,0,44192,56234,44181,25615,38886,0,39510,0,44258,56282,44199,25639,38898,0,40123
6/10/24,0,22,28,11,1,15,0,4,0,44192,56372,44181,25615,38886,0,39510,0,44258,56420,44199,25639,38898,0,40123
6/10/24,0,22,29,11,1,15,0,4,0,44192,56506,44181,25615,38886,0,39510,0,44258,56555,44199,25639,38898,0,40123
6/10/24,0,22,30,11,1,15,0,4,0,44192,56656,44181,25615,38886,0,39510,0,44258,56704,44199,25639,38898,0,40123
6/10/24,0,23,30,11,1,15,0,4,0,57093,56656,44181,25615,38886,0,39510,0,57117,56704,44199,25639,38898,0,40123
6/10/24,0,24,30,11,1,15,0,4,0,57177,56656,44181,25615,38886,0,39510,0,57213,56704,44199,25639,38898,0,40123
6/10/24,0,25,30,11,1,15,0,4,0,57372,56656,44181,25615,38886,0,39510,0,57396,56704,44199,25639,38898,0,40123
6/10/24,0,26,30,11,1,15,0,4,0,57455,56656,44181,25615,38886,0,39510,0,57497,56704,44199,25639,38898,0,40123
6/10/24,0,27,30,11,1,15,0,4,0,57641,56656,44181,25615,38886,0,39510,0,57683,56704,44199,25639,38898,0,40123
6/10/24,0,28,30,11,1,15,0,4,0,57754,56656,44181,25615,38886,0,39510,0,57785,56704,44199,25639,38898,0,40123
6/10/24,0,28,30,11,1,16,0,4,0,57754,56656,44181,25615,61852,0,39510,0,57785,56704,44199,25639,61870,0,40123
6/10/24,0,28,30,11,1,17,0,4,0,57754,56656,44181,25615,61967,0,39510,0,57785,56704,44199,25639,61985,0,40123
6/10/24,0,28,30,11,1,18,0,4,0,57754,56656,44181,25615,62077,0,39510,0,57785,56704,44199,25639,62089,0,40123
6/10/24,0,28,30,11,1,19,0,4,0,57754,56656,44181,25615,62178,0,39510,0,57785,56704,44199,25639,62214,0,40123
6/10/24,0,28,30,11,1,20,0,4,0,57754,56656,44181,25615,62387,0,39510,0,57785,56704,44199,25639,62411,0,40123
6/10/24,0,28,30,11,1,21,0,4,0,57754,56656,44181,25615,64223,0,39510,0,57785,56704,44199,25639,64241,0,40123
6/10/24,0,28,30,11,1,22,0,4,0,57754,56656,44181,25615,64300,0,39510,0,57785,56704,44199,25639,64312,0,40123
6/10/24,0,28,30,11,1,23,0,4,0,57754,56656,44181,25615,65033,0,39510,0,57785,56704,44199,25639,65057,0,40123
6/10/24,0,28,31,11,1,23,0,4,0,57754,66125,44181,25615,65033,0,39510,0,57785,66149,44199,25639,65057,0,40123
6/10/24,0,28,32,11,1,23,0,4,0,57754,66211,44181,25615,65033,0,39510,0,57785,66253,44199,25639,65057,0,40123
6/10/24,0,28,33,11,1,23,0,4,0,57754,66313,44181,25615,65033,0,39510,0,57785,66343,44199,25639,65057,0,40123
6/10/24,0,28,34,11,1,23,0,4,0,57754,66401,44181,25615,65033,0,39510,0,57785,66438,44199,25639,65057,0,40123
6/10/24,0,28,35,11,1,23,0,4,0,57754,66497,44181,25615,65033,0,39510,0,57785,66533,44199,25639,65057,0,40123
6/10/24,0,28,36,11,1,23,0,4,0,57754,66596,44181,25615,65033,0,39510,0,57785,66632,44199,25639,65057,0,40123
6/10/24,0,28,37,11,1,23,0,4,0,57754,66692,44181,25615,65033,0,39510,0,57785,66734,44199,25639,65057,0,40123
6/10/24,0,28,38,11,1,23,0,4,0,57754,66793,44181,25615,65033,0,39510,0,57785,66835,44199,25639,65057,0,40123
6/10/24,0,28,38,11,1,24,0,4,0,57754,66901,44181,25615,66890,0,39510,0,57785,66835,44199,25639,66908,0,40123
6/10/24,0,28,39,11,1,24,0,4,0,57754,66901,44181,25615,66890,0,39510,0,57785,66970,44199,25639,66908,0,40123
6/10/24,0,28,40,11,1,24,0,4,0,57754,67033,44181,25615,66890,0,39510,0,57785,67057,44199,25639,66908,0,40123
6/10/24,0,28,41,11,1,24,0,4,0,57754,67116,44181,25615,66890,0,39510,0,57785,67164,44199,25639,66908,0,40123
6/10/24,0,28,42,11,1,24,0,4,0,57754,67224,44181,25615,66890,0,39510,0,57785,67272,44199,25639,66908,0,40123
6/10/24,0,28,42,12,1,24,0,4,0,57754,67340,67347,25615,66890,0,39510,0,57785,67272,67383,25639,66908,0,40123
6/10/24,0,28,43,12,1,24,0,4,0,57754,67340,67347,25615,66890,0,39510,0,57785,67441,67383,25639,66908,0,40123
6/10/24,0,28,44,12,1,24,0,4,0,57754,67500,67347,25615,66890,0,39510,0,57785,67512,67383,25639,66908,0,40123
6/10/24,0,28,45,12,1,24,0,4,0,57754,67577,67347,25615,66890,0,39510,0,57785,67626,67383,25639,66908,0,40123
6/10/24,0,28,46,12,1,24,0,4,0,57754,67694,67347,25615,66890,0,39510,0,57785,67736,67383,25639,66908,0,40123
6/10/24,0,28,47,12,1,24,0,4,0,57754,67813,67347,25615,66890,0,39510,0,57785,67861,67383,25639,66908,0,40123
6/10/24,0,28,48,12,1,24,0,4,0,57754,67944,67347,25615,66890,0,39510,0,57785,67974,67383,25639,66908,0,40123
6/10/24,0,28,49,12,1,24,0,4,0,57754,68058,67347,25615,66890,0,39510,0,57785,68112,67383,25639,66908,0,40123
6/10/24,0,28,49,12,1,25,0,4,0,57754,68058,67347,25615,68170,0,39510,0,57785,68112,67383,25639,68188,0,40123
6/10/24,0,28,50,12,1,25,0,4,0,57754,68318,67347,25615,68170,0,39510,0,57785,68366,67383,25639,68188,0,40123
6/10/24,0,28,51,12,1,25,0,4,0,57754,68437,67347,25615,68170,0,39510,0,57785,68485,67383,25639,68188,0,40123
6/10/24,0,28,51,12,1,26,0,4,0,57754,68556,67347,25615,68552,0,39510,0,57785,68485,67383,25639,68588,0,40123
6/10/24,0,28,52,12,1,26,0,4,0,57754,68556,67347,25615,68552,0,39510,0,57785,68649,67383,25639,68588,0,40123
6/10/24,0,28,53,12,1,26,0,4,0,57754,68712,67347,25615,68552,0,39510,0,57785,68730,67383,25639,68588,0,40123
6/10/24,0,28,54,12,1,26,0,4,0,57754,68958,67347,25615,68552,0,39510,0,57785,68994,67383,25639,68588,0,40123
6/10/24,0,28,55,12,1,26,0,4,0,57754,69071,67347,25615,68552,0,39510,0,57785,69119,67383,25639,68588,0,40123
6/10/24,0,28,56,12,1,26,0,4,0,57754,69193,67347,25615,68552,0,39510,0,57785,69241,67383,25639,68588,0,40123
6/10/24,0,28,57,12,1,26,0,4,0,57754,69330,67347,25615,68552,0,39510,0,57785,69372,67383,25639,68588,0,40123
6/10/24,0,28,58,12,1,26,0,4,0,57754,69461,67347,25615,68552,0,39510,0,57785,69503,67383,25639,68588,0,40123
6/10/24,0,28,59,12,1,26,0,4,0,57754,69592,67347,25615,68552,0,39510,0,57785,69640,67383,25639,68588,0,40123
6/10/24,0,28,60,12,1,26,0,4,0,57754,69721,67347,25615,68552,0,39510,0,57785,69775,67383,25639,68588,0,40123
6/10/24,0,28,61,12,1,26,0,4,0,57754,69852,67347,25615,68552,0,39510,0,57785,69901,67383,25639,68588,0,40123
6/10/24,0,28,62,12,1,26,0,4,0,57754,69972,67347,25615,68552,0,39510,0,57785,70032,67383,25639,68588,0,40123
6/10/24,0,28,63,12,1,26,0,4,0,57754,70103,67347,25615,68552,0,39510,0,57785,70152,67383,25639,68588,0,40123
6/10/24,0,28,64,12,1,26,0,4,0,57754,70244,67347,25615,68552,0,39510,0,57785,70280,67383,25639,68588,0,40123
6/10/24,0,28,65,12,1,26,0,4,0,57754,70358,67347,25615,68552,0,39510,0,57785,70418,67383,25639,68588,0,40123
6/10/24,0,28,66,12,1,26,0,4,0,57754,70531,67347,25615,68552,0,39510,0,57785,70561,67383,25639,68588,0,40123
6/10/24,0,28,66,12,1,27,0,4,0,57754,70651,67347,25615,70652,0,39510,0,57785,70561,67383,25639,70670,0,40123
6/10/24,0,28,67,12,1,27,0,4,0,57754,70651,67347,25615,70652,0,39510,0,57785,70732,67383,25639,70670,0,40123
6/10/24,0,28,68,12,1,27,0,4,0,57754,70801,67347,25615,70652,0,39510,0,57785,70855,67383,25639,70670,0,40123
6/10/24,0,28,69,12,1,27,0,4,0,57754,70945,67347,25615,70652,0,39510,0,57785,70993,67383,25639,70670,0,40123
6/10/24,0,28,70,12,1,27,0,4,0,57754,71069,67347,25615,70652,0,39510,0,57785,71117,67383,25639,70670,0,40123
6/10/24,0,28,71,12,1,27,0,4,0,57754,71203,67347,25615,70652,0,39510,0,57785,71251,67383,25639,70670,0,40123
6/10/24,0,28,72,12,1,27,0,4,0,57754,71346,67347,25615,71390,0,39510,0,57785,71394,67383,25639,70670,0,40123
6/10/24,0,28,72,12,1,28,0,4,0,57754,71346,67347,25615,71390,0,39510,0,57785,71394,67383,25639,71449,0,40123
6/10/24,0,28,73,12,1,28,0,4,0,57754,71507,67347,25615,71390,0,39510,0,57785,71531,67383,25639,71449,0,40123
6/10/24,0,28,74,12,1,28,0,4,0,57754,71611,67347,25615,71390,0,39510,0,57785,71660,67383,25639,71449,0,40123
6/10/24,0,29,74,12,1,28,0,4,0,74117,71611,67347,25615,71390,0,39510,0,74135,71660,67383,25639,71449,0,40123
6/10/24,0,30,74,12,1,28,0,4,0,74194,71611,67347,25615,71390,0,39510,0,74230,71660,67383,25639,71449,0,40123
6/10/24,0,31,74,12,1,28,0,4,0,74296,71611,67347,25615,71390,0,39510,0,74314,71660,67383,25639,71449,0,40123
6/10/24,0,32,74,12,1,28,0,4,0,74382,71611,67347,25615,71390,0,39510,0,74412,71660,67383,25639,71449,0,40123
6/10/24,0,33,74,12,1,28,0,4,0,74616,71611,67347,25615,71390,0,39510,0,74646,71660,67383,25639,71449,0,40123
6/10/24,0,34,74,12,1,28,0,4,0,74705,71611,67347,25615,71390,0,39510,0,74747,71660,67383,25639,71449,0,40123
6/10/24,0,34,75,12,1,28,0,4,0,74705,76017,67347,25615,71390,0,39510,0,74747,76041,67383,25639,71449,0,40123
6/10/24,0,34,76,12,1,28,0,4,0,74705,76280,67347,25615,71390,0,39510,0,74747,76322,67383,25639,71449,0,40123
6/10/24,0,34,77,12,1,28,0,4,0,74705,76432,67347,25615,71390,0,39510,0,74747,76486,67383,25639,71449,0,40123
6/10/24,0,34,78,12,1,28,0,4,0,74705,76647,67347,25615,71390,0,39510,0,74747,76701,67383,25639,71449,0,40123
6/10/24,0,34,79,12,1,28,0,4,0,74705,76761,67347,25615,71390,0,39510,0,74747,76803,67383,25639,71449,0,40123
6/10/24,0,34,80,12,1,28,0,4,0,74705,76861,67347,25615,71390,0,39510,0,74747,76904,67383,25639,71449,0,40123
6/10/24,0,34,81,12,1,28,0,4,0,74705,76972,67347,25615,71390,0,39510,0,74747,77014,67383,25639,71449,0,40123
6/10/24,0,34,82,12,1,28,0,4,0,74705,77085,67347,25615,71390,0,39510,0,74747,77115,67383,25639,71449,0,40123
6/10/24,0,34,83,12,1,28,0,4,0,74705,77193,67347,25615,71390,0,39510,0,74747,77235,67383,25639,71449,0,40123
6/10/24,0,34,84,12,1,28,0,4,0,74705,77300,67347,25615,71390,0,39510,0,74747,77342,67383,25639,71449,0,40123
6/10/24,0,34,85,12,1,28,0,4,0,74705,77429,67347,25615,71390,0,39510,0,74747,77477,67383,25639,71449,0,40123
6/10/24,0,34,86,12,1,28,0,4,0,74705,77549,67347,25615,71390,0,39510,0,74747,77597,67383,25639,71449,0,40123
6/10/24,0,34,87,12,1,28,0,4,0,74705,77926,67347,25615,71390,0,39510,0,74747,77968,67383,25639,71449,0,40123
6/10/24,0,34,87,12,1,29,0,4,0,74705,77926,67347,25615,80802,0,39510,0,74747,77968,67383,25639,80838,0,40123
6/10/24,0,34,87,12,1,29,0,5,0,74705,77926,67347,25615,80802,0,83788,0,74747,77968,67383,25639,80838,0,83800
6/10/24,0,35,87,12,1,29,0,5,0,84018,77926,67347,25615,80802,0,83788,0,84049,77968,67383,25639,80838,0,83800
6/10/24,0,36,87,12,1,29,0,5,0,84120,77926,67347,25615,80802,0,83788,0,84150,77968,67383,25639,80838,0,83800
6/10/24,0,37,87,12,1,29,0,5,0,84215,77926,67347,25615,80802,0,83788,0,84257,77968,67383,25639,80838,0,83800
6/10/24,0,37,87,12,1,29,0,6,0,84215,77926,67347,25615,80802,0,84346,0,84257,77968,67383,25639,80838,0,84364
6/10/24,0,38,87,12,1,29,0,6,0,84497,77926,67347,25615,80802,0,84346,0,84528,77968,67383,25639,80838,0,84364
6/10/24,0,39,87,12,1,29,0,6,0,84587,77926,67347,25615,80802,0,84346,0,84617,77968,67383,25639,80838,0,84364
6/10/24,0,40,87,12,1,29,0,6,0,84676,77926,67347,25615,80802,0,84346,0,84700,77968,67383,25639,80838,0,84364
6/10/24,0,40,87,12,1,29,0,7,0,84762,77926,67347,25615,80802,0,84759,0,84700,77968,67383,25639,80838,0,84765
6/10/24,0,41,87,12,1,29,0,7,0,84762,77926,67347,25615,80802,0,84759,0,84821,77968,67383,25639,80838,0,84765
6/10/24,0,42,87,12,1,29,0,7,0,84958,77926,67347,25615,80802,0,84759,0,84982,77968,67383,25639,80838,0,84765
6/10/24,0,43,87,12,1,29,0,7,0,85161,77926,67347,25615,80802,0,84759,0,85204,77968,67383,25639,80838,0,84765
6/10/24,0,44,87,12,1,29,0,7,0,85266,77926,67347,25615,80802,0,84759,0,85296,77968,67383,25639,80838,0,84765
6/10/24,0,45,87,12,1,29,0,7,0,85361,77926,67347,25615,80802,0,84759,0,85391,77968,67383,25639,80838,0,84765
6/10/24,0,46,87,12,1,29,0,7,0,85457,77926,67347,25615,80802,0,84759,0,85493,77968,67383,25639,80838,0,84765
6/10/24,0,46,87,12,1,29,0,8,0,85457,77926,67347,25615,80802,0,85604,0,85493,77968,67383,25639,80838,0,85640
6/10/24,0,47,87,12,1,29,0,8,0,85698,77926,67347,25615,80802,0,85604,0,85704,77968,67383,25639,80838,0,85640
6/10/24,0,47,87,12,1,29,0,9,0,85775,77926,67347,25615,80802,0,85785,0,85704,77968,67383,25639,80838,0,85803
6/10/24,0,48,87,12,1,29,0,9,0,85775,77926,67347,25615,80802,0,85785,0,85858,77968,67383,25639,80838,0,85803
6/10/24,0,49,87,12,1,29,0,9,0,85917,77926,67347,25615,80802,0,85785,0,85930,77968,67383,25639,80838,0,85803
6/10/24,0,50,87,12,1,29,0,9,0,86008,77926,67347,25615,80802,0,85785,0,86045,77968,67383,25639,80838,0,85803
6/10/24,0,51,87,12,1,29,0,9,0,86134,77926,67347,25615,80802,0,85785,0,86170,77968,67383,25639,80838,0,85803
6/10/24,0,52,87,12,1,29,0,9,0,86247,77926,67347,25615,80802,0,85785,0,86283,77968,67383,25639,80838,0,85803
6/10/24,0,53,87,12,1,29,0,9,0,86462,77926,67347,25615,80802,0,85785,0,86504,77968,67383,25639,80838,0,85803
6/10/24,0,54,87,12,1,29,0,9,0,86579,77926,67347,25615,80802,0,85785,0,86597,77968,67383,25639,80838,0,85803
6/10/24,0,55,87,12,1,29,0,9,0,86680,77926,67347,25615,80802,0,86695,0,86728,77968,67383,25639,80838,0,85803
6/10/24,0,55,87,12,1,29,0,10,0,86680,77926,67347,25615,80802,0,86695,0,86728,77968,67383,25639,80838,0,86784
6/10/24,0,56,87,12,1,29,0,10,0,86918,77926,67347,25615,80802,0,86695,0,86948,77968,67383,25639,80838,0,86784
6/10/24,0,57,87,12,1,29,0,10,0,87028,77926,67347,25615,80802,0,86695,0,87070,77968,67383,25639,80838,0,86784
6/10/24,0,58,87,12,1,29,0,10,0,87159,77926,67347,25615,80802,0,86695,0,87177,77968,67383,25639,80838,0,86784
6/10/24,0,59,87,12,1,29,0,10,0,87243,77926,67347,25615,80802,0,86695,0,87285,77968,67383,25639,80838,0,86784
