MM-DD-YYYY,HH:MM:SS.000,Temp,ADH11_Count,ALDHKI1_Count,ADH10_Count,ADH9_Count,WT14_Count,WT12_Count,WT13_Count,WT11_Count,WT10_Count,WT9_Count,ADH11_Start,ALDHKI1_Start,ADH10_Start,ADH9_Start,WT14_Start,WT12_Start,WT13_Start,WT11_Start,WT10_Start,WT9_Start,ADH11_Stop,ALDHKI1_Stop,ADH10_Stop,ADH9_Stop,WT14_Stop,WT12_Stop,WT13_Stop,WT11_Stop,WT10_Stop,WT9_Stop
7/18/2024,10:34:29 AM,24.75,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,17338,0,0,0,0,0,0,0,0,0,17380
7/18/2024,10:34:30 AM,24.75,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,17461,0,0,0,0,0,0,0,0,0,17497
7/18/2024,10:34:30 AM,24.75,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,17581,0,0,0,0,0,0,0,0,0,17612
7/18/2024,10:34:32 AM,24.75,0,0,0,0,1,0,0,0,0,37,0,0,0,0,20078,0,0,0,0,17581,0,0,0,0,20120,0,0,0,0,17612
7/18/2024,10:34:32 AM,24.75,0,0,0,0,2,0,0,0,0,37,0,0,0,0,20370,0,0,0,0,17581,0,0,0,0,20382,0,0,0,0,17612
7/18/2024,10:34:33 AM,24.75,0,0,0,0,3,0,0,0,0,37,0,0,0,0,20552,0,0,0,0,17581,0,0,0,0,20588,0,0,0,0,17612
7/18/2024,10:34:33 AM,24.75,0,0,0,0,4,0,0,0,0,37,0,0,0,0,21094,0,0,0,0,17581,0,0,0,0,21124,0,0,0,0,17612
7/18/2024,10:34:33 AM,24.75,0,0,0,0,5,0,0,0,0,37,0,0,0,0,21290,0,0,0,0,17581,0,0,0,0,21326,0,0,0,0,17612
7/18/2024,10:34:33 AM,24.75,0,0,0,0,6,0,0,0,0,37,0,0,0,0,21396,0,0,0,0,17581,0,0,0,0,21414,0,0,0,0,17612
7/18/2024,10:34:34 AM,24.75,0,0,0,0,7,0,0,0,0,37,0,0,0,0,21471,0,0,0,0,17581,0,0,0,0,21501,0,0,0,0,17612
7/18/2024,10:34:34 AM,24.75,0,0,0,0,8,0,0,0,0,37,0,0,0,0,21568,0,0,0,0,17581,0,0,0,0,21598,0,0,0,0,17612
7/18/2024,10:34:34 AM,24.75,0,0,0,0,9,0,0,0,0,37,0,0,0,0,21667,0,0,0,0,17581,0,0,0,0,21697,0,0,0,0,17612
7/18/2024,10:34:34 AM,24.75,0,0,0,0,10,0,0,0,0,37,0,0,0,0,21773,0,0,0,0,17581,0,0,0,0,21809,0,0,0,0,17612
7/18/2024,10:34:35 AM,24.75,0,0,0,0,10,0,0,0,0,38,0,0,0,0,21773,0,0,0,0,21877,0,0,0,0,21809,0,0,0,0,21908
7/18/2024,10:34:34 AM,24.75,0,0,0,0,10,0,0,0,0,39,0,0,0,0,21773,0,0,0,0,21968,0,0,0,0,21809,0,0,0,0,21998
7/18/2024,10:34:34 AM,24.75,0,0,0,0,10,0,0,0,0,40,0,0,0,0,22106,0,0,0,0,22066,0,0,0,0,21809,0,0,0,0,22109
7/18/2024,10:34:34 AM,24.75,0,0,0,0,11,0,0,0,0,40,0,0,0,0,22106,0,0,0,0,22066,0,0,0,0,22165,0,0,0,0,22109
7/18/2024,10:34:34 AM,24.75,0,0,0,0,11,0,0,0,0,41,0,0,0,0,22224,0,0,0,0,22221,0,0,0,0,22165,0,0,0,0,22227
7/18/2024,10:34:34 AM,24.75,0,0,0,0,12,0,0,0,0,41,0,0,0,0,22224,0,0,0,0,22221,0,0,0,0,22283,0,0,0,0,22227
7/18/2024,10:34:34 AM,24.75,0,0,0,0,12,0,0,0,0,42,0,0,0,0,22224,0,0,0,0,22392,0,0,0,0,22283,0,0,0,0,22440
7/18/2024,10:34:35 AM,24.75,0,0,0,0,12,0,0,0,0,43,0,0,0,0,22224,0,0,0,0,22505,0,0,0,0,22283,0,0,0,0,22553
7/18/2024,10:34:35 AM,24.75,0,0,0,0,12,0,0,0,0,44,0,0,0,0,22224,0,0,0,0,22623,0,0,0,0,22283,0,0,0,0,22665
7/18/2024,10:34:35 AM,24.75,0,0,0,0,12,0,0,0,0,45,0,0,0,0,22224,0,0,0,0,22737,0,0,0,0,22283,0,0,0,0,22785
7/18/2024,10:34:36 AM,24.75,0,0,0,0,12,0,0,0,0,46,0,0,0,0,22224,0,0,0,0,22868,0,0,0,0,22283,0,0,0,0,22917
7/18/2024,10:34:36 AM,24.75,0,0,0,0,12,0,0,0,0,47,0,0,0,0,22224,0,0,0,0,23005,0,0,0,0,22283,0,0,0,0,23029
7/18/2024,10:34:35 AM,24.75,0,0,0,0,12,0,0,0,0,48,0,0,0,0,22224,0,0,0,0,23135,0,0,0,0,22283,0,0,0,0,23159
7/18/2024,10:34:35 AM,24.75,0,0,0,0,12,0,0,0,0,49,0,0,0,0,22224,0,0,0,0,23244,0,0,0,0,22283,0,0,0,0,23299
7/18/2024,10:34:39 AM,24.75,0,0,0,0,13,0,0,0,0,49,0,0,0,0,26003,0,0,0,0,23244,0,0,0,0,26009,0,0,0,0,23299
7/18/2024,10:34:38 AM,24.75,0,0,0,0,14,0,0,0,0,49,0,0,0,0,26100,0,0,0,0,23244,0,0,0,0,26136,0,0,0,0,23299
7/18/2024,10:34:38 AM,24.75,0,0,0,0,15,0,0,0,0,49,0,0,0,0,26412,0,0,0,0,23244,0,0,0,0,26424,0,0,0,0,23299
7/18/2024,10:34:39 AM,24.75,0,0,0,0,16,0,0,0,0,49,0,0,0,0,26496,0,0,0,0,23244,0,0,0,0,26514,0,0,0,0,23299
7/18/2024,10:34:39 AM,24.75,0,0,0,0,17,0,0,0,0,49,0,0,0,0,26730,0,0,0,0,23244,0,0,0,0,26742,0,0,0,0,23299
7/18/2024,10:34:40 AM,24.75,0,0,0,0,18,0,0,0,0,49,0,0,0,0,27028,0,0,0,0,23244,0,0,0,0,27046,0,0,0,0,23299
7/18/2024,10:34:39 AM,24.75,0,0,0,0,19,0,0,0,0,49,0,0,0,0,27117,0,0,0,0,23244,0,0,0,0,27141,0,0,0,0,23299
7/18/2024,10:34:39 AM,24.75,0,0,0,0,20,0,0,0,0,49,0,0,0,0,27278,0,0,0,0,23244,0,0,0,0,27303,0,0,0,0,23299
7/18/2024,10:34:39 AM,24.75,0,0,0,0,21,0,0,0,0,49,0,0,0,0,27361,0,0,0,0,23244,0,0,0,0,27397,0,0,0,0,23299
7/18/2024,10:34:40 AM,24.75,0,0,0,0,22,0,0,0,0,49,0,0,0,0,27461,0,0,0,0,23244,0,0,0,0,27485,0,0,0,0,23299
7/18/2024,10:34:40 AM,24.75,0,0,0,0,23,0,0,0,0,49,0,0,0,0,27555,0,0,0,0,23244,0,0,0,0,27591,0,0,0,0,23299
7/18/2024,10:34:40 AM,24.75,0,0,0,0,24,0,0,0,0,49,0,0,0,0,27656,0,0,0,0,23244,0,0,0,0,27681,0,0,0,0,23299
7/18/2024,10:34:40 AM,24.75,0,0,0,0,25,0,0,0,0,49,0,0,0,0,27741,0,0,0,0,23244,0,0,0,0,27771,0,0,0,0,23299
7/18/2024,10:34:40 AM,24.75,0,0,0,0,26,0,0,0,0,49,0,0,0,0,28318,0,0,0,0,23244,0,0,0,0,28330,0,0,0,0,23299
7/18/2024,10:34:40 AM,24.75,0,0,0,0,27,0,0,0,0,49,0,0,0,0,28394,0,0,0,0,23244,0,0,0,0,28424,0,0,0,0,23299
7/18/2024,10:34:41 AM,24.75,0,0,0,0,28,0,0,0,0,49,0,0,0,0,28596,0,0,0,0,23244,0,0,0,0,28626,0,0,0,0,23299
7/18/2024,10:34:41 AM,24.75,0,0,0,0,28,0,0,0,0,50,0,0,0,0,28596,0,0,0,0,29187,0,0,0,0,28626,0,0,0,0,29205
7/18/2024,10:34:41 AM,24.75,0,0,0,0,28,0,0,0,0,51,0,0,0,0,28596,0,0,0,0,29289,0,0,0,0,28626,0,0,0,0,29302
7/18/2024,10:34:41 AM,24.75,0,0,0,0,28,0,0,0,0,52,0,0,0,0,28596,0,0,0,0,29395,0,0,0,0,28626,0,0,0,0,29431
7/18/2024,10:34:42 AM,24.75,0,0,0,0,28,0,0,0,0,53,0,0,0,0,28596,0,0,0,0,29489,0,0,0,0,28626,0,0,0,0,29525
7/18/2024,10:34:42 AM,24.75,0,0,0,0,28,0,0,0,0,54,0,0,0,0,28596,0,0,0,0,29584,0,0,0,0,28626,0,0,0,0,29632
7/18/2024,10:34:42 AM,24.75,0,0,0,0,28,0,0,0,0,55,0,0,0,0,28596,0,0,0,0,29982,0,0,0,0,28626,0,0,0,0,30000
7/18/2024,10:34:42 AM,24.75,0,0,0,0,28,0,0,0,0,56,0,0,0,0,28596,0,0,0,0,30062,0,0,0,0,28626,0,0,0,0,30098
7/18/2024,10:34:42 AM,24.75,0,0,0,0,28,0,0,0,0,57,0,0,0,0,28596,0,0,0,0,30411,0,0,0,0,28626,0,0,0,0,30453
7/18/2024,10:34:43 AM,24.75,0,0,0,0,28,0,0,0,0,58,0,0,0,0,28596,0,0,0,0,30524,0,0,0,0,28626,0,0,0,0,30548
7/18/2024,10:34:44 AM,24.75,0,0,0,0,28,0,0,0,1,58,0,0,0,0,28596,0,0,0,31679,30524,0,0,0,0,28626,0,0,0,31728,30548
