MM-DD-YYYY,HH:MM:SS.000,Temp,Bottle0Count,Bottle1Count,Bottle2Count,Bottle3Count,Bottle4Count,Bottle5Count,Bottle6Count,Bottle7Count,Bottle8Count,Bottle9Count,Bottle10Count,Bottle11Count,Bottle0Start,Bottle1Start,Bottle2Start,Bottle3Start,Bottle4Start,Bottle5Start,Bottle6Start,Bottle7Start,Bottle8Start,Bottle9Start,Bottle10Start,Bottle11Start,Bottle0Stop,Bottle1Stop,Bottle2Stop,Bottle3Stop,Bottle4Stop,Bottle5Stop,Bottle6Stop,Bottle7Stop,Bottle8Stop,Bottle9Stop,Bottle10Stop,Bottle11Stop
3/10/2025,8:44:09 AM,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/10/2025,8:44:22 AM,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12833,0,0,0,0,0,0,0,0,0,0,0,12857,0,0
3/10/2025,8:44:23 AM,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13723,0,0,0,0,0,0,0,0,0,0,0,13759,0,0
3/10/2025,8:45:02 AM,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,52437,0,0,0,0,0,0,0,0,0,0,0,52462,0,0
3/10/2025,8:45:02 AM,24,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,52686,0,0,0,0,0,0,0,0,0,0,0,52710,0,0
3/10/2025,8:45:02 AM,24,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,52782,0,0,0,0,0,0,0,0,0,0,0,52788,0,0
3/10/2025,8:45:02 AM,24,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,52867,0,0,0,0,0,0,0,0,0,0,0,52885,0,0
3/10/2025,8:45:01 AM,24,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,53073,0,0,0,0,0,0,0,0,0,0,0,53109,0,0
3/10/2025,8:45:02 AM,24,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,53181,0,0,0,0,0,0,0,0,0,0,0,53199,0,0
3/10/2025,8:45:02 AM,24,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,53262,0,0,0,0,0,0,0,0,0,0,0,53287,0,0
3/10/2025,8:45:02 AM,24,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,53350,0,0,0,0,0,0,0,0,0,0,0,53380,0,0
3/10/2025,8:46:00 AM,24.25,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,111255,0,0,0,0,0,53350,0,0,0,0,0,111303,0,0,0,0,0,53380,0,0
3/10/2025,8:46:34 AM,24.25,0,0,0,1,0,0,0,0,1,10,0,0,0,0,0,111255,0,0,0,0,145107,53350,0,0,0,0,0,111303,0,0,0,0,145168,53380,0,0
3/10/2025,8:47:22 AM,24.25,1,0,0,1,0,0,0,0,1,10,0,0,193212,0,0,111255,0,0,0,0,145107,53350,0,0,193236,0,0,111303,0,0,0,0,145168,53380,0,0
3/10/2025,8:47:22 AM,24.25,2,0,0,1,0,0,0,0,1,10,0,0,193297,0,0,111255,0,0,0,0,145107,53350,0,0,193345,0,0,111303,0,0,0,0,145168,53380,0,0
3/10/2025,8:47:22 AM,24.25,3,0,0,1,0,0,0,0,1,10,0,0,193405,0,0,111255,0,0,0,0,145107,53350,0,0,193429,0,0,111303,0,0,0,0,145168,53380,0,0
3/10/2025,8:47:23 AM,24.25,4,0,0,1,0,0,0,0,1,10,0,0,193559,0,0,111255,0,0,0,0,145107,53350,0,0,193595,0,0,111303,0,0,0,0,145168,53380,0,0
3/10/2025,8:47:23 AM,24.25,5,0,0,1,0,0,0,0,1,10,0,0,193658,0,0,111255,0,0,0,0,145107,53350,0,0,193676,0,0,111303,0,0,0,0,145168,53380,0,0
3/10/2025,8:47:23 AM,24.25,6,0,0,1,0,0,0,0,1,10,0,0,193758,0,0,111255,0,0,0,0,145107,53350,0,0,193782,0,0,111303,0,0,0,0,145168,53380,0,0
3/10/2025,8:47:23 AM,24.25,7,0,0,1,0,0,0,0,1,10,0,0,193844,0,0,111255,0,0,0,0,145107,53350,0,0,193892,0,0,111303,0,0,0,0,145168,53380,0,0
3/10/2025,8:47:23 AM,24.25,8,0,0,1,0,0,0,0,1,10,0,0,194131,0,0,111255,0,0,0,0,145107,53350,0,0,194173,0,0,111303,0,0,0,0,145168,53380,0,0
3/10/2025,8:47:24 AM,24.25,9,0,0,1,0,0,0,0,1,10,0,0,194514,0,0,111255,0,0,0,0,145107,53350,0,0,194532,0,0,111303,0,0,0,0,145168,53380,0,0
3/10/2025,8:47:24 AM,24.25,10,0,0,1,0,0,0,0,1,10,0,0,194621,0,0,111255,0,0,0,0,145107,53350,0,0,194645,0,0,111303,0,0,0,0,145168,53380,0,0
3/10/2025,8:47:24 AM,24.25,11,0,0,1,0,0,0,0,1,10,0,0,194913,0,0,111255,0,0,0,0,145107,53350,0,0,194943,0,0,111303,0,0,0,0,145168,53380,0,0
3/10/2025,8:47:29 AM,24.25,12,0,0,1,0,0,0,0,1,10,0,0,200022,0,0,111255,0,0,0,0,145107,53350,0,0,200065,0,0,111303,0,0,0,0,145168,53380,0,0
3/10/2025,8:47:29 AM,24.25,13,0,0,1,0,0,0,0,1,10,0,0,200327,0,0,111255,0,0,0,0,145107,53350,0,0,200357,0,0,111303,0,0,0,0,145168,53380,0,0
3/10/2025,8:47:30 AM,24.25,14,0,0,1,0,0,0,0,1,10,0,0,200644,0,0,111255,0,0,0,0,145107,53350,0,0,200686,0,0,111303,0,0,0,0,145168,53380,0,0
3/10/2025,8:48:18 AM,24.25,14,0,0,1,0,0,0,0,1,11,0,0,200644,0,0,111255,0,0,0,0,145107,248785,0,0,200686,0,0,111303,0,0,0,0,145168,248827,0,0
3/10/2025,8:48:51 AM,24.25,15,0,0,1,0,0,0,0,1,11,0,0,281789,0,0,111255,0,0,0,0,145107,248785,0,0,281813,0,0,111303,0,0,0,0,145168,248827,0,0
3/10/2025,8:48:51 AM,24.25,16,0,0,1,0,0,0,0,1,11,0,0,281875,0,0,111255,0,0,0,0,145107,248785,0,0,281899,0,0,111303,0,0,0,0,145168,248827,0,0
