MM:DD:YY,WT5_Count,WT6_Count,WT7_Count,WT8_Count,ADH5_Count,ADH6_Count,ADH7_Count,ADH8_Count,WT5_Start,WT6_Start,WT7_Start,WT8_Start,ADH5_Start,ADH6_Start,ADH7_Start,ADH8_Start,WT5_Stop,WT6_Stop,WT7_Stop,WT8_Stop,ADH5_Stop,ADH6_Stop,ADH7_Stop,ADH8_Stop
6/11/24,0,0,0,0,1,0,0,0,0,0,0,0,8529,0,0,0,0,0,0,0,8547,0,0,0
6/11/24,0,0,0,0,2,0,0,0,0,0,0,0,11669,11669,0,0,0,0,0,0,11693,0,0,0
6/11/24,0,0,0,0,3,0,0,0,0,0,0,0,11782,11669,0,0,0,0,0,0,11824,0,0,0
6/11/24,0,0,0,0,3,1,0,0,0,0,0,0,11782,11669,0,0,0,0,0,0,11824,14103,0,0
6/11/24,0,0,0,0,4,1,0,0,0,0,0,0,14720,11669,0,0,0,0,0,0,14847,14103,0,0
6/11/24,0,0,0,1,4,1,0,0,0,0,0,18562,14720,11669,0,0,0,0,0,18574,14847,14103,0,0
6/11/24,0,0,0,2,4,1,0,0,0,0,0,28955,14720,11669,0,0,0,0,0,28979,14847,14103,0,0
6/11/24,0,0,0,3,4,1,0,0,0,0,0,29760,14720,11669,0,0,0,0,0,29778,14847,14103,0,0
6/11/24,0,0,0,3,5,1,0,0,0,0,0,29760,30547,11669,0,0,0,0,0,29778,30602,14103,0,0
6/11/24,0,0,1,3,5,1,0,0,0,0,43770,29760,30547,11669,0,0,0,0,43788,29778,30602,14103,0,0
6/11/24,0,0,2,3,5,1,0,0,0,0,43937,29760,30547,11669,0,0,0,0,43967,29778,30602,14103,0,0
6/11/24,0,0,2,3,6,1,0,0,0,0,43937,29760,44524,11669,0,0,0,0,43967,29778,44536,14103,0,0
6/11/24,0,0,3,3,6,1,0,0,0,0,44630,29760,44524,11669,0,0,0,0,44672,29778,44536,14103,0,0
6/11/24,0,0,4,3,6,1,0,0,0,0,44732,29760,44524,11669,0,0,0,0,44768,29778,44536,14103,0,0
6/11/24,0,0,5,3,6,1,0,0,0,0,44827,29760,44524,11669,0,0,0,0,44858,29778,44536,14103,0,0
6/11/24,0,0,6,3,6,1,0,0,0,0,44916,29760,44524,11669,0,0,0,0,44958,29778,44536,14103,0,0
6/11/24,0,0,7,3,6,1,0,0,0,0,45021,29760,45034,11669,0,0,0,0,45057,29778,44536,14103,0,0
6/11/24,0,0,7,3,7,1,0,0,0,0,45021,29760,45034,11669,0,0,0,0,45057,29778,45116,14103,0,0
6/11/24,0,0,8,3,7,1,0,0,0,0,45240,29760,45034,11669,0,0,0,0,45264,29778,45116,14103,0,0
6/11/24,0,0,8,3,8,1,0,0,0,0,45240,29760,45318,11669,0,0,0,0,45264,29778,45336,14103,0,0
6/11/24,0,0,8,3,9,1,0,0,0,0,45240,29760,45396,11669,0,0,0,0,45264,29778,45420,14103,0,0
6/11/24,0,0,8,3,10,1,0,0,0,0,45240,29760,45482,11669,0,0,0,0,45264,29778,45506,14103,0,0
6/11/24,0,0,9,3,10,1,0,0,0,0,45738,29760,45482,11669,0,0,0,0,45768,29778,45506,14103,0,0
6/11/24,0,0,10,3,10,1,0,0,0,0,45827,29760,45482,11669,0,0,0,0,45857,29778,45506,14103,0,0
6/11/24,0,0,11,3,10,1,0,0,0,0,45922,29760,45482,11669,0,0,0,0,45964,29778,45506,14103,0,0
6/11/24,0,0,11,3,11,1,0,0,0,0,46045,29760,46034,11669,0,0,0,0,45964,29778,46076,14103,0,0
6/11/24,0,0,12,3,11,1,0,0,0,0,46045,29760,46034,11669,0,0,0,0,46134,29778,46076,14103,0,0
6/11/24,0,0,13,3,11,1,0,0,0,0,46194,29760,46034,11669,0,0,0,0,46206,29778,46076,14103,0,0
6/11/24,0,0,14,3,11,1,0,0,0,0,46271,29760,46034,11669,0,0,0,0,46319,29778,46076,14103,0,0
6/11/24,0,0,15,3,11,1,0,0,0,0,46390,29760,46034,11669,0,0,0,0,46427,29778,46076,14103,0,0
6/11/24,0,0,16,3,11,1,0,0,0,0,46609,29760,46034,11669,0,0,0,0,46645,29778,46076,14103,0,0
6/11/24,0,0,17,3,11,1,0,0,0,0,46717,29760,46034,11669,0,0,0,0,46759,29778,46076,14103,0,0
6/11/24,0,0,18,3,11,1,0,0,0,0,46824,29760,46034,11669,0,0,0,0,46872,29778,46076,14103,0,0
6/11/24,0,0,19,3,11,1,0,0,0,0,46943,29760,46034,11669,0,0,0,0,46985,29778,46076,14103,0,0
6/11/24,0,0,20,3,11,1,0,0,0,0,47073,29760,46034,11669,0,0,0,0,47121,29778,46076,14103,0,0
6/11/24,0,0,21,3,11,1,0,0,0,0,47195,29760,46034,11669,0,0,0,0,47243,29778,46076,14103,0,0
