MM-DD-YYYY,HH:MM:SS.000,Temp,ADH12_Count,ADH13_Count,ADH14_Count,ADH15_Count,ALDH1_Count,ALDH2_Count,ALDH3_Count,ALDH4_Count,ALDHKI2_Count,ALDHKI3_Count,ADH12_Start,ADH13_Start,ADH14_Start,ADH15_Start,ALDH1_Start,ALDH2_Start,ALDH3_Start,ALDH4_Start,ALDHKI2_Start,ALDHKI3_Start,ADH12_Stop,ADH13_Stop,ADH14_Stop,ADH15_Stop,ALDH1_Stop,ALDH2_Stop,ALDH3_Stop,ALDH4_Stop,ALDHKI2_Stop,ALDHKI3_Stop
7/18/2024,10:31:31 AM,24.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/18/2024,10:31:34 AM,24.25,1,0,0,0,0,0,0,0,0,0,2890,0,0,2892,0,0,0,0,0,0,2980,0,0,0,0,0,0,0,0,0
7/18/2024,10:31:35 AM,24.25,1,0,0,1,0,0,0,0,0,0,2890,0,0,2892,0,0,0,0,0,0,2980,0,0,3044,0,0,0,0,0,0
7/18/2024,10:31:35 AM,24.25,1,0,0,1,0,0,0,0,0,1,3469,0,0,2892,0,0,0,0,0,3534,2980,0,0,3044,0,0,0,0,0,3570
7/18/2024,10:31:35 AM,24.25,2,0,0,1,0,0,0,0,0,1,3469,0,0,2892,0,0,0,0,0,3534,3956,0,0,3044,0,0,0,0,0,3570
7/18/2024,10:31:36 AM,24.25,2,0,0,1,0,1,0,0,0,1,3469,0,0,2892,0,4979,0,0,0,3534,3956,0,0,3044,0,4985,0,0,0,3570
7/18/2024,10:31:36 AM,24.25,2,0,0,1,0,1,1,0,0,1,3469,0,0,2892,0,5057,5064,0,0,3534,3956,0,0,3044,0,4985,5118,0,0,3570
7/18/2024,10:31:38 AM,24.25,2,0,0,1,0,2,1,0,0,1,3469,0,0,2892,0,5057,5064,0,0,3534,3956,0,0,3044,0,5580,5118,0,0,3570
7/18/2024,10:33:19 AM,24.5,2,1,0,1,0,2,1,0,0,1,3469,107464,0,2892,0,5057,5064,0,0,3534,3956,107482,0,3044,0,5580,5118,0,0,3570
7/18/2024,10:33:47 AM,24.5,2,1,0,1,0,3,1,0,0,1,3469,107464,0,2892,0,134695,5064,0,0,3534,3956,107482,0,3044,0,134773,5118,0,0,3570
7/18/2024,10:33:46 AM,24.5,2,1,0,1,0,4,1,0,0,1,3469,107464,0,2892,0,134840,5064,0,0,3534,3956,107482,0,3044,0,135255,5118,0,0,3570
7/18/2024,10:33:51 AM,24.5,2,1,0,1,0,5,1,0,0,1,3469,107464,0,2892,0,138828,5064,0,0,3534,3956,107482,0,3044,0,138858,5118,0,0,3570
7/18/2024,10:33:50 AM,24.5,2,1,0,1,0,6,1,0,0,1,3469,107464,0,2892,0,138927,5064,0,0,3534,3956,107482,0,3044,0,138981,5118,0,0,3570
7/18/2024,10:33:50 AM,24.5,2,1,0,1,0,7,1,0,0,1,3469,107464,0,2892,0,139049,5064,0,0,3534,3956,107482,0,3044,0,139061,5118,0,0,3570
7/18/2024,10:33:53 AM,24.5,2,1,0,1,0,8,1,0,0,1,3469,107464,0,2892,0,140391,5064,0,0,3534,3956,107482,0,3044,0,140625,5118,0,0,3570
7/18/2024,10:33:53 AM,24.5,2,1,0,1,0,9,1,0,0,1,3469,107464,0,2892,0,140771,5064,0,0,3534,3956,107482,0,3044,0,140777,5118,0,0,3570
7/18/2024,10:33:53 AM,24.5,2,1,0,1,0,10,1,0,0,1,3469,107464,0,2892,0,140983,5064,0,0,3534,3956,107482,0,3044,0,141019,5118,0,0,3570
7/18/2024,10:33:52 AM,24.5,2,1,0,1,0,11,1,0,0,1,3469,107464,0,2892,0,141088,5064,0,0,3534,3956,107482,0,3044,0,141130,5118,0,0,3570
7/18/2024,10:33:54 AM,24.5,2,1,0,1,0,12,1,0,0,1,3469,107464,0,2892,0,142008,5064,0,0,3534,3956,107482,0,3044,0,142026,5118,0,0,3570
7/18/2024,10:33:57 AM,24.5,2,1,0,1,0,13,1,0,0,1,3469,107464,0,2892,0,145288,5064,0,0,3534,3956,107482,0,3044,0,145504,5118,0,0,3570
7/18/2024,10:33:57 AM,24.5,2,1,0,1,0,14,1,0,0,1,3469,107464,0,2892,0,145572,5064,0,0,3534,3956,107482,0,3044,0,146239,5118,0,0,3570
7/18/2024,10:34:20 AM,24.5,2,1,0,1,0,14,1,0,0,2,3469,107464,0,2892,0,145572,5064,0,0,169072,3956,107482,0,3044,0,146239,5118,0,0,169114
7/18/2024,10:34:21 AM,24.5,2,1,0,1,0,14,1,0,0,3,3469,107464,0,2892,0,145572,5064,0,0,169458,3956,107482,0,3044,0,146239,5118,0,0,169470
7/18/2024,10:34:21 AM,24.5,2,1,0,1,0,14,1,0,0,4,3469,107464,0,2892,0,145572,5064,0,0,169946,3956,107482,0,3044,0,146239,5118,0,0,169970
7/18/2024,10:34:21 AM,24.5,2,1,0,1,0,14,1,0,0,5,3469,107464,0,2892,0,145572,5064,0,0,170045,3956,107482,0,3044,0,146239,5118,0,0,170093
7/18/2024,10:34:21 AM,24.5,2,1,0,1,0,14,1,0,0,6,3469,107464,0,2892,0,145572,5064,0,0,170329,3956,107482,0,3044,0,146239,5118,0,0,170359
7/18/2024,10:34:21 AM,24.5,2,1,0,1,0,14,1,0,0,7,3469,107464,0,2892,0,145572,5064,0,0,170427,3956,107482,0,3044,0,146239,5118,0,0,170439
7/18/2024,10:34:22 AM,24.5,2,1,0,1,0,14,1,0,0,8,3469,107464,0,2892,0,145572,5064,0,0,170508,3956,107482,0,3044,0,146239,5118,0,0,170538
7/18/2024,10:34:23 AM,24.5,2,1,0,1,0,14,1,0,0,9,3469,107464,0,2892,0,145572,5064,0,0,170613,3956,107482,0,3044,0,146239,5118,0,0,170643
7/18/2024,10:34:23 AM,24.5,2,1,0,1,0,14,1,0,0,10,3469,107464,0,2892,0,145572,5064,0,0,170711,3956,107482,0,3044,0,146239,5118,0,0,170741
7/18/2024,10:34:23 AM,24.5,2,1,0,1,0,14,1,0,0,11,3469,107464,0,2892,0,145572,5064,0,0,170810,3956,107482,0,3044,0,146239,5118,0,0,170828
7/18/2024,10:34:23 AM,24.5,2,1,0,1,0,14,1,0,0,12,3469,107464,0,2892,0,145572,5064,0,0,170903,3956,107482,0,3044,0,146239,5118,0,0,170933
7/18/2024,10:34:23 AM,24.5,2,1,0,1,0,14,1,0,0,13,3469,107464,0,2892,0,145572,5064,0,0,171453,3956,107482,0,3044,0,146239,5118,0,0,171465
7/18/2024,10:34:23 AM,24.5,2,1,0,1,0,14,1,0,0,14,3469,107464,0,2892,0,145572,5064,0,0,172124,3956,107482,0,3044,0,146239,5118,0,0,172160
7/18/2024,10:34:23 AM,24.5,2,1,0,1,0,14,1,0,0,15,3469,107464,0,2892,0,145572,5064,0,0,172421,3956,107482,0,3044,0,146239,5118,0,0,172445
7/18/2024,10:34:25 AM,24.5,2,1,0,1,0,14,1,0,0,16,3469,107464,0,2892,0,145572,5064,0,0,172838,3956,107482,0,3044,0,146239,5118,0,0,172868
7/18/2024,10:34:24 AM,24.5,2,1,0,1,0,14,1,0,0,17,3469,107464,0,2892,0,145572,5064,0,0,173170,3956,107482,0,3044,0,146239,5118,0,0,173206
7/18/2024,10:34:24 AM,24.5,2,1,0,1,0,14,1,0,0,18,3469,107464,0,2892,0,145572,5064,0,0,173287,3956,107482,0,3044,0,146239,5118,0,0,173299
7/18/2024,10:34:24 AM,24.5,2,1,0,1,0,14,1,0,0,19,3469,107464,0,2892,0,145572,5064,0,0,173374,3956,107482,0,3044,0,146239,5118,0,0,173416
7/18/2024,10:34:25 AM,24.5,2,1,0,1,0,14,1,0,0,20,3469,107464,0,2892,0,145572,5064,0,0,173484,3956,107482,0,3044,0,146239,5118,0,0,173520
7/18/2024,10:34:26 AM,24.5,2,1,0,1,0,14,1,0,0,21,3469,107464,0,2892,0,145572,5064,0,0,173591,3956,107482,0,3044,0,146239,5118,0,0,173615
7/18/2024,10:34:31 AM,24.5,2,1,0,1,0,15,1,0,0,21,3469,107464,0,2892,0,179454,5064,0,0,173591,3956,107482,0,3044,0,179472,5118,0,0,173615
